#B magnetization energy
-0.10000 -0.72016 -1.44102
-0.08000 -0.65882 -1.38069
-0.06000 -0.60611 -1.33398
-0.04000 -0.49932 -1.26618
-0.02000 -0.31025 -1.23283
0.00000 0.02994 -1.16764
0.02000 0.36896 -1.22971
0.04000 0.53343 -1.28736
0.06000 0.58082 -1.31620
0.08000 0.67775 -1.39316
0.10000 0.71221 -1.45449
0.10000 0.70160 -1.43647
0.08000 0.64565 -1.39083
0.06000 0.64548 -1.35079
0.04000 0.44669 -1.25016
0.02000 0.21269 -1.18697
0.00000 0.05500 -1.17474
-0.02000 -0.28148 -1.21237
-0.04000 -0.47208 -1.26303
-0.06000 -0.60455 -1.34676
-0.08000 -0.65654 -1.37787
-0.10000 -0.70282 -1.43385
